,config,score
113,"[(1, 0, 2), (1, 1, 1, 24), 'n']",1.1256185164517543
114,"[(1, 0, 1), (0, 1, 1, 24), 'c']",1.1258736364065112
115,"[(1, 0, 1), (0, 1, 2, 24), 'c']",1.1260171240394856
116,"[(0, 1, 1), (0, 1, 1, 24), 'n']",1.1263325464239717
117,"[(0, 1, 0), (0, 1, 1, 24), 'ct']",1.1264858419180546
118,"[(1, 0, 2), (1, 1, 2, 24), 't']",1.1269452305548826
119,"[(2, 1, 0), (1, 1, 2, 24), 'ct']",1.1274658242878008
120,"[(2, 1, 1), (1, 1, 2, 24), 'ct']",1.1278616434415976
121,"[(2, 0, 1), (0, 1, 2, 24), 'c']",1.1279564423119892
122,"[(0, 1, 0), (0, 1, 2, 24), 't']",1.1282012136632307
123,"[(1, 0, 2), (0, 1, 1, 24), 'n']",1.1291311430029347
124,"[(2, 0, 0), (1, 1, 2, 24), 'ct']",1.1300034270174635
125,"[(1, 0, 1), (0, 1, 1, 24), 't']",1.1300144813508943
126,"[(1, 0, 2), (1, 1, 2, 24), 'ct']",1.1306195774010255
127,"[(1, 0, 0), (0, 1, 1, 24), 'ct']",1.1308229137693544
128,"[(1, 0, 2), (0, 1, 2, 24), 't']",1.1310052603622174
129,"[(2, 0, 2), (1, 1, 2, 24), 't']",1.1310761030550207
130,"[(2, 1, 0), (0, 1, 2, 24), 'ct']",1.131199326536145
131,"[(1, 0, 0), (0, 1, 2, 24), 'c']",1.1316551300032867
132,"[(1, 1, 2), (0, 1, 2, 24), 'ct']",1.1316563075215085
133,"[(1, 1, 0), (0, 1, 2, 24), 'ct']",1.1317815709959531
134,"[(1, 1, 0), (2, 1, 2, 24), 'n']",1.1320533422824361
135,"[(2, 1, 2), (1, 1, 1, 24), 'n']",1.1325171304718316
136,"[(1, 0, 0), (1, 1, 1, 24), 'ct']",1.1331166064280964
137,"[(1, 1, 1), (1, 1, 1, 24), 'c']",1.1339664222554564
138,"[(2, 0, 2), (1, 1, 1, 24), 'n']",1.1343026609171338
139,"[(2, 0, 2), (0, 1, 2, 24), 'c']",1.1345196827070254
140,"[(1, 0, 1), (1, 1, 1, 24), 'n']",1.1346738194281116
141,"[(2, 0, 0), (0, 1, 2, 24), 'c']",1.13539988132271
142,"[(2, 1, 0), (0, 1, 1, 24), 't']",1.1355671229364654
143,"[(1, 0, 2), (0, 1, 2, 24), 'ct']",1.136196141575288
144,"[(1, 1, 0), (2, 1, 2, 24), 'c']",1.1362800126147317
145,"[(1, 1, 0), (0, 1, 1, 24), 'c']",1.136401728364961
146,"[(0, 1, 1), (0, 1, 1, 24), 'c']",1.136414359443395
147,"[(1, 0, 1), (0, 1, 2, 24), 't']",1.1364383794070614
148,"[(2, 0, 1), (1, 1, 1, 24), 't']",1.1369487303132417
149,"[(2, 0, 2), (0, 1, 1, 24), 'c']",1.1370817080139433
150,"[(1, 0, 0), (1, 1, 1, 24), 't']",1.1370887384437387
151,"[(1, 0, 0), (0, 1, 2, 24), 't']",1.137277129714508
152,"[(2, 0, 1), (2, 1, 2, 24), 'n']",1.1377823382232548
153,"[(0, 1, 2), (0, 1, 1, 24), 'n']",1.138369193928936
154,"[(1, 1, 1), (0, 1, 1, 24), 'c']",1.1385234409875125
155,"[(2, 1, 0), (0, 1, 1, 24), 'n']",1.1390744496215819
156,"[(1, 1, 1), (1, 1, 1, 24), 't']",1.1394885255836953
