,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
144,72744,1010,72744,Hancock Houghton Cty. Memo,US,MI,72744.0,KCMX,47.1667,-88.4833,334.0,America/Detroit,1973-01-01,2022-09-22,1948-01-01,2022-09-13,1948-01-01,2022-01-01,413.31619299675503
3,1J1PJ,1008,1J1PJ,Gore Bay,CA,ON,71956.0,,45.88,-82.57,189.0,America/Nipigon,2020-01-01,2022-09-21,2010-07-09,2022-09-18,2010-01-01,2022-01-01,259.1772146573859
358,KICL0,1005,KICL0,Clarinda,US,IA,,KICL,40.7222,-95.0266,303.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2015-01-01,2022-01-01,594.153978176157
271,KD250,1004,KD250,Manitowish Waters,US,WI,,KD25,46.122,-89.8823,491.0,America/Chicago,2011-12-15,2022-09-22,2011-12-16,2022-04-24,2012-01-01,2022-01-01,406.552629496978
288,KDXX0,1000,KDXX0,Madison,US,MN,,KDXX,44.9864,-96.1778,330.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,651.4446800557663
120,72635,1000,72635,Gerald R. Ford International,US,MI,72635.0,KGRR,42.8833,-85.5167,242.0,America/Detroit,1973-01-01,2022-09-22,1963-11-24,2022-09-14,1963-01-01,2022-01-01,101.22222063720986
6,21O3U,999,21O3U,Royal Island,CA,ON,71859.0,,49.47,-94.76,329.0,America/Rainy_River,2020-09-23,2022-09-20,2016-01-07,2022-09-17,2016-01-01,2022-01-01,728.770717802805
375,KJMS0,999,KJMS0,Jamestown,US,ND,,KJMS,46.9297,-98.6782,457.0,America/Chicago,1973-01-01,2022-09-22,1973-01-01,2022-04-24,2000-01-01,2022-01-01,803.7566281212584
12,71140,993,71140,Brandon Airport,CA,MB,71140.0,CYBR,49.91,-99.95,409.0,America/Winnipeg,1977-07-01,2022-09-22,1941-07-01,2022-09-19,1941-01-01,2022-01-01,939.5808714929724
282,KDNV0,990,KDNV0,Danville / Campbell,US,IL,,KDNV,40.1997,-87.5955,212.0,America/Chicago,2006-01-03,2022-09-22,2007-12-05,2022-04-24,2015-01-01,2022-01-01,244.38716507675585
268,KCVX0,990,KCVX0,Charlevoix / Boulder Park,US,MI,,KCVX,45.3048,-85.2753,204.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,226.10060545328088
127,72642,988,72642,Acacia Falls Mobile Home Court,US,WI,72642.0,KSBM,43.78,-87.85,228.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2006-01-01,2022-01-01,234.04752296240923
475,KPQN0,987,KPQN0,Pipestone,US,MN,,KPQN,43.9833,-96.3003,529.0,America/Chicago,2006-01-01,2022-08-02,2006-01-01,2022-04-24,2012-01-01,2022-01-01,645.894728563919
28,71307,987,71307,Ridgetown RCS,CA,ON,71307.0,,42.45,-81.88,206.0,America/Toronto,2004-05-10,2022-09-17,2003-02-01,2022-09-12,2003-01-01,2022-01-01,96.80958533996176
278,KDKB0,986,KDKB0,De Kalb / Cortland,US,IL,,KDKB,41.9338,-88.7057,279.0,America/Chicago,2006-01-02,2022-09-22,2008-03-04,2022-04-24,2014-01-01,2022-01-01,255.78089289475705
116,72556,985,72556,Karl Stefan Memorial Airport,US,NE,72556.0,KOFK,41.9833,-97.4333,479.0,America/Chicago,1973-01-01,2022-09-22,1945-10-01,2022-09-14,1945-01-01,2022-01-01,702.9571322624654
266,KCQM0,983,KCQM0,Cook,US,MN,,KCQM,47.8218,-92.6906,405.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,583.5889965630477
9,4DUJO,983,4DUJO,Fergus Shand Dam,CA,ON,,,43.73,-80.33,418.0,America/Toronto,,,2000-01-01,2022-09-18,2000-01-01,2022-01-01,201.94944276131008
142,72741,981,72741,Park Falls,US,WI,72741.0,KPKF,45.9333,-90.45,462.0,America/Chicago,1973-01-01,2001-02-03,1910-05-01,2022-09-13,1910-01-01,2021-01-01,420.4335732623669
129,72644,978,72644,Rochester International Airport,US,MN,72644.0,KRST,43.9,-92.5,401.0,America/Chicago,1973-01-01,2022-09-22,1893-01-18,2022-09-14,1893-01-01,2022-01-01,457.740306104585
34,71439,976,71439,Cove Island,CA,ON,71439.0,CWWX,45.33,-81.73,181.0,America/Toronto,1985-09-10,2021-05-11,1985-09-12,2021-05-10,1995-01-01,2019-01-01,237.0001399252633
469,KPLN0,976,KPLN0,Pellston,US,MI,,KPLN,45.5709,-84.7967,220.0,America/Detroit,1973-01-01,2022-09-22,1973-01-01,2022-04-24,2000-01-01,2021-01-01,237.0168175811297
121,72636,973,72636,Muskegon County Airport,US,MI,72636.0,KMKG,43.1667,-86.2333,191.0,America/Detroit,1973-01-01,2022-09-22,1896-06-02,2022-09-14,1896-01-01,2022-01-01,142.42623746621422
272,KD390,971,KD390,Sauk Centre,US,MN,,KD39,45.7066,-94.9334,379.0,America/Chicago,2020-01-14,2022-09-19,2020-01-14,2022-04-24,2020-01-01,2022-01-01,606.8469879458302
481,KRAC0,969,KRAC0,Racine / Ives,US,WI,,KRAC,42.7612,-87.8139,205.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,211.09090452815312
361,KIGQ0,968,KIGQ0,Chicago / Lynwood,US,IL,,KIGQ,41.5349,-87.5295,189.0,America/Chicago,2006-01-02,2022-09-22,2011-03-17,2022-04-24,2014-01-01,2022-01-01,200.84353000868003
0,0CNUO,962,0CNUO,Rawson Lake,CA,ON,,,49.65,-93.72,358.0,America/Rainy_River,,,2000-01-01,2022-08-10,2000-01-01,2022-01-01,701.7676669528157
466,KPJC0,959,KPJC0,Zelienople / Old Furnace,US,PA,,KPJC,40.802,-80.1609,274.0,America/New_York,2020-01-14,2022-09-22,2020-01-14,2022-04-12,2020-01-01,2021-01-01,210.19501361119515
136,72654,959,72654,Huron Regional Airport,US,SD,72654.0,KHON,44.3833,-98.2333,393.0,America/Chicago,1973-01-01,2022-09-22,1881-07-01,2022-09-14,1881-01-01,2022-01-01,744.4458336950447
280,KDLZ0,958,KDLZ0,Delaware / Sunnyview Farms,US,OH,,KDLZ,40.2797,-83.1148,288.0,America/New_York,2011-03-15,2022-09-22,2011-03-16,2022-04-24,2011-01-01,2022-01-01,138.06873085833337
126,72641,956,72641,Madison Dane County Rgnl,US,WI,72641.0,KMSN,43.1333,-89.0167,263.0,America/Chicago,1948-01-01,2022-09-22,1939-10-01,2022-09-14,1939-01-01,2022-01-01,275.6647356352511
269,KCWA0,955,KCWA0,Mosinee,US,WI,,KCWA,44.7776,-89.6668,389.0,America/Chicago,2006-01-01,2022-09-22,2009-10-05,2022-04-24,2020-01-01,2022-01-01,345.7683868160876
152,7Q717,954,7Q717,Sarnia,CA,ON,71746.0,,43.0,-82.3,181.0,America/Toronto,2020-01-01,2022-09-20,2006-03-20,2022-09-18,2006-01-01,2022-01-01,91.15010471615624
