,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
106,72544,1572,72544,Moline Quad-City Airport,US,IL,72544.0,KMLI,41.45,-90.0167,180.0,America/Chicago,1973-01-01,2022-09-22,1943-05-24,2022-09-14,1943-01-01,2022-01-01,327.9560976330165
356,KI740,1569,KI740,Urbana / McKeever Mobile Home Park,US,OH,,KI74,40.1326,-83.7535,326.0,America/New_York,2020-01-14,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,144.25459017484738
374,KJMR0,1563,KJMR0,Mora,US,MN,,KJMR,45.8861,-93.2718,308.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,537.0372891753193
110,72548,1559,72548,Waterloo Municipal Airport,US,IA,72548.0,KALO,42.55,-92.0667,266.0,America/Chicago,1960-03-01,2022-09-22,1950-03-01,2022-09-14,1950-01-01,2022-01-01,426.2029378862108
310,KFET0,1555,KFET0,Fremont / Midway Trailer Court,US,NE,,KFET,41.4491,-96.5202,367.0,America/Chicago,2006-01-01,2022-09-22,2006-01-02,2022-04-24,2010-01-01,2022-01-01,660.8712686729051
44,71538,1551,71538,Windsor Airport,CA,ON,71538.0,CYQG,42.28,-82.96,190.0,America/Toronto,1955-07-02,2022-09-22,1940-08-01,2022-09-20,1940-01-01,2022-01-01,40.47539468591726
312,KFFM0,1543,KFFM0,Fergus Falls / French,US,MN,,KFFM,46.2844,-96.1567,361.0,America/Chicago,2005-01-01,2022-09-22,2005-01-01,2022-04-24,2008-01-01,2022-01-01,675.7460382050464
313,KFFX0,1543,KFFX0,Fremont Muni / Reeman,US,MI,,KFFX,43.4393,-85.9949,235.0,America/Detroit,2008-02-29,2022-09-22,2008-03-02,2022-04-24,2008-01-01,2022-01-01,141.79492801947455
362,KIIB0,1533,KIIB0,Independence / Pine Ridge Mobile Home Court,US,IA,,KIIB,42.4569,-91.9477,298.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2014-01-01,2022-01-01,420.1444512110618
347,KHIB0,1520,KHIB0,Hibbing-Chisholm / Wilpen,US,MN,,KHIB,47.3866,-92.839,413.0,America/Chicago,1973-01-01,2022-09-22,1973-01-01,2022-04-24,1973-01-01,2022-01-01,571.1546165880914
316,KFKR0,1516,KFKR0,Frankfort / Jefferson,US,IN,,KFKR,40.2734,-86.5622,262.0,America/Indiana/Indianapolis,2020-01-14,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,199.0269478947299
119,72634,1510,72634,"Gaylord, Mi.",US,MI,72634.0,KAPX,44.9167,-84.7167,446.0,America/Detroit,1973-01-01,2001-05-02,1998-08-01,2022-09-14,1998-01-01,2022-01-01,192.24255959648076
359,KICR0,1478,KICR0,Winner,US,SD,,KICR,43.3903,-99.8422,620.0,America/Chicago,2006-01-01,2022-09-22,2006-01-04,2022-04-24,2007-01-01,2022-01-01,820.789163618914
311,KFFL0,1478,KFFL0,Fairfield / Maharishi Vedic City,US,IA,,KFFL,41.0558,-91.9809,244.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2015-01-01,2022-01-01,433.70633751282895
94,72531,1477,72531,"Rantoul / Chanute Air Force Base, Il.",US,IL,72531.0,KTIP,40.3,-88.15,0.0,America/Chicago,2006-02-03,2022-09-22,2011-03-18,2022-04-25,2015-01-01,2022-01-01,264.9194168211385
360,KIFA0,1476,KIFA0,Iowa Falls / Racine,US,IA,,KIFA,42.4708,-93.27,347.0,America/Chicago,2007-10-16,2022-09-22,2007-10-19,2022-04-24,2014-01-01,2022-01-01,487.6977793605343
315,KFKA0,1465,KFKA0,Preston / Carimona,US,MN,,KFKA,43.6767,-92.1797,389.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,439.0794342668338
57,71642,1448,71642,Chapleau Airport,CA,ON,71642.0,CYLD,47.82,-83.35,448.0,America/Toronto,1996-11-01,2022-09-22,1978-07-01,2022-04-23,1978-01-01,2018-01-01,386.980948864923
318,KFNB0,1446,KFNB0,Falls City,US,NE,,KFNB,40.0788,-95.592,300.0,America/Chicago,2000-01-01,2022-09-22,2000-08-31,2022-04-24,2001-01-01,2021-01-01,634.7945544493324
322,KFSE0,1446,KFSE0,Fosston,US,MN,,KFSE,47.5928,-95.7735,390.0,America/Chicago,2006-01-01,2022-09-14,2006-01-01,2022-04-24,2007-01-01,2022-01-01,695.8496260292759
109,72547,1440,72547,Dubuque Regional Airport,US,IL,72547.0,KDBQ,42.4,-90.0333,328.0,America/Chicago,1973-01-01,2022-09-22,1951-02-01,2022-09-14,1951-01-01,2022-01-01,322.2719736584899
47,71564,1429,71564,Morden CDA CS,CA,MB,71564.0,CXMD,49.19,-98.08,298.0,America/Winnipeg,2001-09-16,2022-09-22,1999-12-01,2022-09-18,1999-01-01,2022-01-01,841.9297784428189
368,KIRK0,1417,KIRK0,Kirksville / Millard,US,MO,,KIRK,40.0935,-92.5449,294.0,America/Chicago,1973-01-01,2022-09-22,1973-01-01,2022-04-24,2004-01-01,2022-01-01,481.6028075126823
355,KHZY0,1406,KHZY0,Ashtabula / Bulah,US,OH,,KHZY,41.778,-80.6955,282.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2021-01-01,159.98720752408235
336,KGSH0,1405,KGSH0,Goshen / Bainter Town,US,IN,,KGSH,41.5263,-85.7942,252.0,America/Indiana/Indianapolis,1999-01-14,2022-09-22,1999-01-23,2022-04-24,2005-01-01,2021-01-01,116.09204891166372
49,71579,1402,71579,Winnipeg The Forks,CA,MB,71579.0,CXWN,49.89,-97.13,230.0,America/Winnipeg,2001-09-16,2022-09-22,1999-11-01,2022-09-18,1999-01-01,2022-01-01,831.2682511583678
99,72536,1391,72536,Toledo Express Airport,US,OH,72536.0,KTOL,41.5833,-83.8,208.0,America/New_York,1973-01-01,2022-09-22,1955-01-01,2022-09-14,1955-01-01,2022-01-01,44.23890161895907
51,71623,1386,71623,London International Airport,CA,ON,71623.0,CYXU,43.03,-81.15,278.0,America/Toronto,1955-07-02,2022-09-22,1982-01-03,2022-09-18,2000-01-01,2022-01-01,143.54523337075454
317,KFLD0,1383,KFLD0,Fond Du Lac / Fond Du Lac,US,WI,,KFLD,43.7712,-88.4884,246.0,America/Chicago,1999-01-01,2022-09-22,1999-01-01,2022-04-24,2005-01-01,2022-01-01,262.95479142269835
314,KFGN0,1381,KFGN0,Flag Island / Penasse,US,MN,,KFGN,49.3183,-94.9028,329.0,America/Winnipeg,2006-01-01,2022-06-06,2006-01-01,2022-04-24,2011-01-01,2022-01-01,727.2488246123787
92,72526,1360,72526,Erie International Airport,US,PA,72526.0,KERI,42.0833,-80.1833,223.0,America/New_York,1973-01-01,2022-09-22,1926-01-01,2022-09-14,1926-01-01,2022-01-01,183.19113309129347
354,KHZX0,1358,KHZX0,McGregor,US,MN,,KHZX,46.6188,-93.3098,374.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,561.632255599902
370,KISQ0,1336,KISQ0,Manistique,US,MI,,KISQ,45.9746,-86.1718,209.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,285.73390093925786
55,71634,1335,71634,Sarnia Airport,CA,NB,,CYZR,43.0,-82.3167,181.0,America/Toronto,2004-03-21,2022-09-22,2006-01-04,2022-09-18,2007-01-01,2022-01-01,90.46307405870223
101,72538,1331,72538,Copper Harbor,US,MI,72538.0,KP59,47.4667,-87.8833,191.0,America/Detroit,2006-01-01,2022-09-22,2004-11-11,2022-09-14,2004-01-01,2022-01-01,415.0923670561481
